Symbol,LTP,High,Low,PreviousClose,Change,Last 10D avg Volume,Delivery %,Symbol P/E,3 months high,3 months low
CENTRUM,38.0,38.0,34.7,34.84,3.16,520381.8,56.53,0.0,42.96,34.84
CHEMPLASTS,528.0,535.0,515.45,517.15,10.85,309917.0,32.88,0.0,581.75,490.3
CINELINE,121.25,128.47,121.25,125.8,-4.55,47348.8,70.87,0.0,144.9,116.33
CINEVISTA,21.04,22.49,20.91,21.97,-0.93,40652.9,0,0.0,23.61,16.34
KRONOX,181.5,183.96,179.05,180.43,1.07,1110767.5,38.60,0.0,193.32,138.84
KRYSTAL,777.5,804.65,769.1,797.3,-19.8,169225.6,54.7,0.0,859.15,690.2
KSHITI-RE,0.0,0.0,0.0,0.0,0.0,3477936.4285714286,0,0.0,1.2,0.5
MARSHALL,37.33,39.89,36.9,38.23,-0.9,880527.8,27.35,0.0,39.95,27.46
MALUPAPER,48.85,50.39,48.61,49.27,-0.42,135514.9,47.49,0.0,52.66,35.4
MADHAV,55.6,57.48,54.99,56.38,-0.78,29363.8,38.80,0.0,60.77,41.5
MADHUCON,12.36,12.36,11.34,11.78,0.58,101427.8,0,0.0,19.65,9.93
MAHASTEEL,200.0,0.0,0.0,0.0,200.0,26046.9,0,0.0,205.2,99.57
MAHEPC,134.5,136.0,130.65,136.69,-2.19,21236.9,0,0.0,165.81,127.55
MAHLIFE,528.3,541.6,528.0,538.55,-10.25,190525.2,62.61,0.0,630.8,530.0
MAHLOG,467.0,472.2,465.15,470.1,-3.1,93776.3,56.7,0.0,545.2,460.2
LGBFORGE,0.0,0.0,0.0,0.0,0.0,153321.4,0,0.0,14.3,10.3
CENTUM,1759.0,1858.05,1743.8,1749.55,9.45,19502.7,35.01,0.0,"1,896.30","1,509.05"
CEREBRAINT,0.0,0.0,0.0,0.0,0.0,236748.9,0,0.0,15.56,6.32
LOYALTEX,548.35,557.5,543.85,557.8,-9.45,1352.2,82.14,0.0,718.7,549.1
LPDC,10.2,10.97,10.2,10.74,-0.54,49949.9,0,0.0,16.76,9.41
LYPSAGEMS,9.11,9.4,9.06,9.4,-0.29,194920.0,0,0.0,12.05,5.51
MOHITIND,28.41,29.45,27.55,28.46,-0.05,31204.6,0,0.0,34.5,22.96
